smiles_std,molecule_chembl_id,p_tyk2_all,p_tyk2,tyk2_binned_only,domain,p_jak1_all,p_jak1,sel_jak1,p_jak2_all,p_jak2,sel_jak2,p_jak3_all,p_jak3,sel_jak3,n_jak_tested,min_selectivity,cross_assay
COc1c(Cl)cccc1Nc1cc(Nc2ccc(C)c(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL6021966,9.52,,True,JH2,,,,,,,,,,0,,True
COc1c(Cl)cccc1Nc1cc(Nc2ccc(C)nn2)nc2[nH]n(C)c(=O)c12,CHEMBL5837088,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Cl)cccc1Nc1cc(Nc2ccc(N3CCC3)c(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL6008964,9.52,,True,JH2,,,,,,,,,,0,,True
COc1c(Cl)cccc1Nc1cc(Nc2ccc(N3CCCC3=O)c(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5758340,9.52,,True,JH2,,,,,,,,,,0,,True
COc1c(Cl)cccc1Nc1cc(Nc2ccc(N3CCOCC3)cn2)nc2[nH]n(C)c(=O)c12,CHEMBL5746525,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Cl)cccc1Nc1cc(Nc2ccc(N3CC[C@H](OC)C3)c(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5864227,9.52,,True,JH2,,,,,,,,,,0,,True
COc1c(Cl)cccc1Nc1cc(Nc2cccc(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5784916,9.12,,True,JH2,,,,,,,,,,0,,True
COc1c(Cl)cccc1Nc1cc(Nc2ccn(C)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5769524,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Cl)cccc1Nc1cc(Nc2cnc(C(C)(C)OC)c(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5753686,9.12,,True,JH2,,,,,,,,,,0,,True
COc1c(Cl)cccc1Nc1cc(Nc2cnc(C)c(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5823859,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(NC(=O)C2CC2)nc2[nH]n(C)c(=O)c12,CHEMBL5831685,9.12,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2cc(C)c(F)cn2)nc2[nH]n(C)c(=O)c12,CHEMBL6065236,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2cc(C)ccn2)nc2[nH]n(C)c(=O)c12,CHEMBL5791343,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2cc(C)nc(C)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5987701,9.52,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2ccc(C#N)cn2)nc2[nH]n(C)c(=O)c12,CHEMBL5974876,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2ccc(C)cn2)nc2[nH]n(C)c(=O)c12,CHEMBL5983040,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2ccc(C)nn2)nc2[nH]n(C)c(=O)c12,CHEMBL5740481,9.52,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2ccc(C3CC3)cn2)nc2[nH]n(C)c(=O)c12,CHEMBL5804179,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2ccc(N3CCCCC3)cn2)nc2[nH]n(C)c(=O)c12,CHEMBL5959104,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2ccc(N3CCOCC3)cn2)nc2[nH]n(C)c(=O)c12,CHEMBL5842471,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2cccc(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5835901,9.52,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2cccc(C(F)(F)F)n2)nc2[nH]n(C)c(=O)c12,CHEMBL6002759,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2cccc(C3CC3)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5873889,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2cccc(N3CC(OC)C3)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5787969,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2ccccn2)nc2[nH]n(C)c(=O)c12,CHEMBL5741220,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2ccn(C)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5839918,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2cnc(C(C)(C)OC)c(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5957441,9.12,,True,JH2,,,,,,,,,,0,,True
COc1c(F)cccc1Nc1cc(Nc2cncc(C#N)n2)nc2[nH]n(C)c(=O)c12,CHEMBL5989088,9.12,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C(F)F)nc23)cccc1-c1c(C)nnn1C,CHEMBL5767466,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C(F)F)nc23)cccc1-c1nc(C)cs1,CHEMBL5938140,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C(F)F)nc23)cccc1-c1ncn(C)n1,CHEMBL5839325,9.52,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C(F)F)nc23)cccc1-c1nnn(C)c1C,CHEMBL5927399,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C(F)F)nc23)cccc1-c1nnn(C)n1,CHEMBL5949915,9.52,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C(F)F)nc23)cccc1C(=O)O,CHEMBL5797715,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C)nc23)cccc1-c1c(C)nnn1C,CHEMBL5825645,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C)nc23)cccc1-c1cnn(C)c1,CHEMBL5767313,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C)nc23)cccc1-c1nc(C)cs1,CHEMBL5884466,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C)nc23)cccc1-c1nc(C)nn1C,CHEMBL5965991,8.26,,True,JH2,,,,,,,,,,0,,True
COc1c(Nc2cc(NC(=O)C3CC3)nc3[nH]c(C)nc23)cccc1-c1nn(C)nc1C,CHEMBL5781366,8.26,,True,JH2,,,,,,,,,,0,,True
